topic19,soviet,union,nuclear,weapon,power,seek,arm,threat,unit,secur,control,limit,danger,strateg,missil,alli,use,treati,clear,threaten
 ,0.048,0.045,0.043,0.031,0.03,0.021,0.02,0.019,0.018,0.016,0.015,0.015,0.015,0.014,0.013,0.012,0.012,0.011,0.011,0.01
topic20,time,chang,challeng,today,come,gener,face,meet,last,next,begin,month,ago,place,histori,ahead,decad,task,histor,centuri
 ,0.096,0.061,0.048,0.046,0.038,0.037,0.036,0.034,0.033,0.029,0.025,0.024,0.021,0.021,0.021,0.02,0.02,0.017,0.014,0.014
topic21,effort,need,continu,improv,system,part,major,initi,support,plan,transport,expand,construct,public,safeti,program,strengthen,promot,transit,highway
 ,0.082,0.081,0.06,0.055,0.052,0.041,0.031,0.026,0.025,0.02,0.019,0.018,0.018,0.016,0.016,0.016,0.013,0.011,0.011,0.009
topic22,work,famili,help,hous,incom,american,million,welfar,home,low,credit,person,support,live,hard,rais,poverti,earn,abl,white
 ,0.107,0.071,0.065,0.058,0.052,0.049,0.042,0.035,0.028,0.02,0.02,0.02,0.015,0.015,0.014,0.013,0.013,0.013,0.012,0.011
topic23,energi,develop,technolog,oil,use,research,power,industri,suppli,space,depend,import,sourc,scienc,product,produc,conserv,advanc,capac,fuel
 ,0.084,0.058,0.035,0.029,0.028,0.027,0.02,0.02,0.02,0.019,0.019,0.017,0.016,0.015,0.015,0.015,0.013,0.012,0.012,0.012
topic24,trade,intern,cooper,countri,agreement,europ,region,import,polit,relat,asia,unit,export,negoti,econom,china,major,interest,relationship,africa
 ,0.046,0.039,0.034,0.033,0.021,0.021,0.02,0.018,0.016,0.016,0.015,0.015,0.013,0.013,0.012,0.012,0.012,0.012,0.012,0.011
topic25,polici,recommend,shall,congress,foreign,direct,present,commiss,report,messag,special,administr,studi,involv,appropri,includ,confer,review,field,attent
 ,0.084,0.048,0.035,0.032,0.027,0.024,0.024,0.024,0.022,0.022,0.019,0.016,0.013,0.013,0.013,0.012,0.011,0.011,0.011,0.01
topic26,congress,legisl,act,propos,reform,pass,last,bill,enact,urg,administr,comprehens,action,senat,prioriti,session,sign,send,congression,complet
 ,0.131,0.079,0.062,0.059,0.045,0.039,0.039,0.033,0.028,0.025,0.02,0.017,0.015,0.014,0.013,0.012,0.011,0.011,0.011,0.01
topic27,protect,resourc,land,use,farm,agricultur,farmer,control,food,natur,preserv,water,area,environment,environ,product,reserv,price,market,author
 ,0.045,0.04,0.033,0.03,0.029,0.025,0.024,0.021,0.021,0.02,0.02,0.02,0.019,0.018,0.018,0.018,0.014,0.012,0.011,0.011
topic28,job,busi,creat,help,privat,invest,worker,employ,small,economi,industri,expand,competit,work,unemploy,train,encourag,sector,market,incent
 ,0.092,0.06,0.045,0.044,0.036,0.035,0.034,0.03,0.025,0.024,0.022,0.021,0.02,0.019,0.017,0.016,0.015,0.015,0.014,0.013
topic29,forc,defens,militari,secur,strength,maintain,strong,build,strengthen,base,power,remain,essenti,modern,capabl,readi,abil,larg,posit,equip
 ,0.072,0.063,0.055,0.045,0.042,0.028,0.025,0.017,0.016,0.016,0.016,0.015,0.013,0.013,0.013,0.013,0.012,0.011,0.011,0.01
