year,president,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
1947,Truman,0.0143736586467864,0.04393990737603072,0.021744041567830115,0.04402462442110019,0.008612899582062577,0.040551225573252005,0.015813848412967353,0.017254038179148314,0.022675929063594263,0.10324183892465832,0.0209815881622049,0.03377386196769457,0.026064610866372982,0.03284197447193042,0.033519710832486165,0.03953462103241839,0.02614932791144245,0.0315712187958884,0.031571218795888395,0.027250649497345535,0.01310290297074438,0.0384332994465153,0.03038518016491585,0.021574607477691177,0.026996498362137127,0.078928046989721,0.0334349937874167,0.03690839263526488,0.03911103580707105,0.045634248277420075
1948,Truman,0.009278002699055331,0.040654520917678814,0.013326585695006748,0.0469298245614035,0.016363022941970305,0.05786099865047233,0.008873144399460188,0.028002699055330635,0.033164642375168696,0.04379217273954116,0.043488529014844804,0.04480431848852901,0.059784075573549256,0.04014844804318489,0.006545209176788125,0.060492577597840755,0.027597840755735494,0.03690958164642376,0.04338731443994602,0.01676788124156545,0.024055330634278005,0.03195006747638327,0.04460188933873145,0.025472334682860996,0.02456140350877193,0.04136302294197031,0.01838731443994602,0.05907557354925776,0.024055330634278,0.02830634278002699
1949,Truman,0.021031274742676166,0.0395882818685669,0.010342438638163103,0.03350158353127475,0.01806215360253365,0.03172011084718923,0.010342438638163105,0.044041963578780687,0.01628068091844814,0.036767616785431514,0.04136975455265241,0.04923792557403009,0.04938638163103721,0.04493269992082344,0.027563341250989706,0.04760490894695171,0.023258115597783055,0.030680918448139347,0.05547307996832938,0.011678543151227237,0.01910134600158353,0.03216547901821061,0.04478424386381631,0.03216547901821061,0.014202296120348377,0.042408946951702296,0.03216547901821061,0.06972486144101346,0.03424386381631037,0.03617379255740301
1950,Truman,0.013412395877453055,0.03289566567838487,0.014153607228575463,0.042849075250600034,0.013835945220951575,0.06434420443314978,0.016377241281942678,0.04030777918960893,0.01605957927431879,0.05809685161654666,0.056402654242552586,0.04846110405195539,0.044331497952844835,0.030142594945644505,0.013306508541578426,0.04380206127347169,0.028024848228151916,0.04242552590710152,0.036284060426373006,0.016694903289566566,0.03035436961739376,0.032789778342510234,0.03226034166313709,0.029719045602145985,0.026330650854157842,0.04242552590710152,0.028977834251023578,0.04496682196809262,0.026224763518283213,0.0337427643653819
1951,Truman,0.025675920885501722,0.02363454908365088,0.047042279078207225,0.037379785882779896,0.013019415714026494,0.09984576301941572,0.047042279078207225,0.02431500635093449,0.004853928506623117,0.03819633460352023,0.03846851751043368,0.023906731990564326,0.03629105425512612,0.015060787515877336,0.003356922518599165,0.018463073852295408,0.01941571402649247,0.05248593721647614,0.015605153329704228,0.06037924151696607,0.021593177281800033,0.04704227907820722,0.008936672110324805,0.026628561059698783,0.05711304663400472,0.02227363454908365,0.013699872981310106,0.030030847396116854,0.018871348212665576,0.10937216476138631
1952,Truman,0.023140380313199104,0.030166387024608502,0.041282158836689044,0.04862276286353468,0.007620246085011186,0.08438199105145414,0.06120665548098433,0.032997762863534674,0.013073266219239373,0.042750279642058166,0.03593400447427293,0.02618148769574944,0.044952460850111856,0.015694910514541388,0.01034675615212528,0.04191135346756152,0.01653383668903803,0.04296001118568232,0.025657158836689037,0.03184423937360179,0.017582494407158835,0.034256152125279646,0.028488534675615216,0.025342561521252797,0.04484759507829977,0.029642058165548102,0.01590464205816555,0.034570749440715885,0.019365212527964207,0.0727418903803132
1953,Eisenhower,0.017648467432950194,0.039990421455938695,0.017217432950191573,0.04782088122605364,0.009171455938697318,0.03568007662835249,0.0178639846743295,0.019731800766283523,0.03891283524904215,0.08187260536398469,0.026412835249042144,0.036182950191570876,0.04056513409961686,0.04128352490421456,0.06391283524904215,0.023611111111111114,0.028065134099616862,0.03366858237547893,0.02260536398467433,0.02088122605363985,0.019947318007662834,0.023682950191570885,0.01125478927203065,0.01728927203065134,0.031226053639846745,0.088338122605364,0.02274904214559387,0.039487547892720305,0.02167145593869732,0.06125478927203065
1953,Truman,0.023319537058327587,0.021192611328274703,0.03872537748141335,0.07195140645359087,0.006361615697095118,0.13472445772974628,0.041599601440944274,0.020962673411512228,0.011822641220203876,0.04102475664903809,0.05062466467387139,0.036655936230551085,0.03125239518663294,0.022859661224802638,0.017111213305740784,0.015099256534069135,0.013144784241588103,0.04947497509005901,0.011247796428297692,0.060856901969801494,0.05137196290334943,0.018893232160649958,0.017226182264122022,0.032287115812064074,0.045451061546715715,0.0202728596612248,0.010845405073963364,0.021422549245037174,0.014294473825400476,0.04792289415191231
1954,Eisenhower,0.013246471226927252,0.0246471226927253,0.007138979370249729,0.028148751357220413,0.011373507057546145,0.03889793702497286,0.008279044516829533,0.023344191096634097,0.0512757871878393,0.042155266015200865,0.020819761129207384,0.04182953311617807,0.020005428881650383,0.055836047774158515,0.033441910966340936,0.018865363735070577,0.0494842562432139,0.031568946796959825,0.04630836047774158,0.0246471226927253,0.02000542888165038,0.0494028230184582,0.020086862106406082,0.02652008686210641,0.04134093376764386,0.09085233441910967,0.02277415852334419,0.05754614549402823,0.01951682953311618,0.06064060803474484
1955,Eisenhower,0.012335888624548418,0.0452462772050401,0.010221164860340116,0.033020530443210856,0.009362058331130496,0.04114899991188651,0.005991717331923518,0.026412018680059917,0.028064146620847653,0.045378447440303116,0.026676359150585954,0.04484976649925103,0.038109084500837075,0.0502687461450348,0.04603929861661821,0.027865891267953125,0.040289893382676883,0.020332187857961054,0.046105383734249716,0.019208740858225395,0.01312891003612653,0.03850559520662613,0.020464358093224073,0.024825975856903694,0.03209533879636972,0.07676887831527007,0.025288571680324258,0.04736100096924839,0.02429729491585162,0.08033747466737158
1956,Eisenhower,0.006555120961900623,0.034097493843256554,0.008565116615964074,0.032956685499058384,0.01780023178328263,0.0363791105316529,0.011064030131826743,0.02491670288280458,0.040996668115312176,0.050068810662031005,0.017854555990149214,0.043821526872374325,0.03583586846298711,0.03909532087498189,0.039692887150514264,0.029805881500796758,0.052839345212226566,0.023178328263074026,0.03268506446472548,0.02692669853686803,0.017528610748949732,0.05620744603795451,0.024862378675937997,0.025894538606403013,0.03871505142691583,0.07087498189193105,0.03757424308271765,0.04680935825003621,0.023069679849340868,0.053328263074025786
1957,Eisenhower,0.014213775178687459,0.05575860948667966,0.011289798570500324,0.043940870695256665,0.010924301494476934,0.07427712800519817,0.006903833658219623,0.022132878492527614,0.013726445743989603,0.0569769330734243,0.038214749837556856,0.0525909681611436,0.03346328784925277,0.041747888239116314,0.043575373619233276,0.03395061728395062,0.024569525666016896,0.026153346328784924,0.016284925276153345,0.03443794671864848,0.02103638726445744,0.03212313190383366,0.018721572449642624,0.03151397011046134,0.04942332683560754,0.06331221572449643,0.027493502274204027,0.03650909681611437,0.019452566601689408,0.045281026640675764
1958,Eisenhower,0.012306321129850542,0.013643219525572466,0.014260249554367202,0.049019607843137254,0.021664609899904014,0.060023310023310024,0.027526395173454,0.029788838612368026,0.03133141368435487,0.06105169340463458,0.02773207184971891,0.04151240915946799,0.038015905662964485,0.021356094885506646,0.027732071849718907,0.026395173453996983,0.03205128205128205,0.03924996572055396,0.01384889620183738,0.081002331002331,0.02814342520224873,0.03400521047579871,0.0079871109282874,0.04819690113807761,0.030200191964897847,0.0328739887563417,0.015391471273824214,0.010352392705333884,0.021767448238036474,0.10156999862882216
1959,Eisenhower,0.013753717220870506,0.041024601243579345,0.013348202216815354,0.04731008380643417,0.016896458502297915,0.06008380643417139,0.014666125979994591,0.020546093538794268,0.040821843741551775,0.055217626385509595,0.04132873749662071,0.03909840497431739,0.05106109759394431,0.031089483644228175,0.03666531494998649,0.039706677480400104,0.029163287374966207,0.04396458502297919,0.014361989726953229,0.04801973506353069,0.028048121113814543,0.04031494998648284,0.01638956474722898,0.022066774804001082,0.024094349824276832,0.04801973506353069,0.024905379832387133,0.02287780481211138,0.02166125979994593,0.05349418761827521
1960,Eisenhower,0.013601114746152913,0.034866109293590214,0.014600751241972614,0.05767599660729431,0.013328486610929358,0.07176178359384466,0.015691263782866838,0.02223433902823216,0.04150006058403005,0.07466981703622924,0.043590209620743975,0.03995516781776324,0.04513510238701078,0.02832303404822489,0.014691627287047135,0.03086756331031141,0.0209620743971889,0.031594571670907554,0.017417908639282685,0.05840300496789046,0.031140191445534957,0.030322307039864292,0.015963891918090393,0.04131830849388102,0.03504786138373925,0.040591300133284866,0.017872288864655275,0.028050405913001335,0.016690900278686537,0.052132557857748694
1961,Eisenhower,0.010094040682817131,0.027036696309925383,0.01178063988551569,0.030179903914954516,0.021286926300725748,0.05018910354696923,0.0031943166717775732,0.03071654911581315,0.037692936726975365,0.030563221915567824,0.022590207502811002,0.030716549115813147,0.02504344270673618,0.04206276193396709,0.051185730348563836,0.04512930593887356,0.056552182357150156,0.014540529489931514,0.04773586834304405,0.04144945313298579,0.01829704589594194,0.0629152611673311,0.02902994991311459,0.04719922314218542,0.03600633752427681,0.03155984871716242,0.015000511090667485,0.05348563835224369,0.030333231115199838,0.046432587140958805
1961,Kennedy,0.033902183862952795,0.018111677782136786,0.015071269778998298,0.046946514973192105,0.02223094023800183,0.05273309794690728,0.020073231332548708,0.0257617366287433,0.04400418464757422,0.03556950438080293,0.03723682489865307,0.044298417680136,0.041846475742121095,0.02595789198378449,0.03762913560873545,0.03292140708774683,0.026350202693866877,0.030665620504773113,0.026644435726428665,0.04478880606773899,0.025859814306263895,0.029979076762128944,0.02419249378841376,0.03615797044592651,0.05165424349418073,0.04478880606773899,0.01820975545965738,0.0363541258009677,0.02174055185039885,0.04831960245848045
